sprint,exported_at,project_item_id,item_type,issue_number,title,repository,url,state,assignees,status
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bYIc,ISSUE,35,[Lab02S02] Execução dos trials - Salomão,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/35,CLOSED,Salomao0tavio,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bYL0,ISSUE,36,[Lab02S02] Snapshot de fechamento da sprint,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/36,OPEN,PedroRamos98,In Progress
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bYCY,ISSUE,33,[Lab02S02] Execução dos trials - Pedro,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/33,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6KZUE,ISSUE,29,[Lab02S01] Preparação dos katas e testes de aceitação,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/29,CLOSED,Salomao0tavio,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bX_A,ISSUE,32,[Lab02S01] Snapshot de fechamento da sprint,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/32,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyc,ISSUE,11,[Lab01S03] Análise e visualização de dados - RQ03 e RQ04,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/11,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyk,ISSUE,13,[Relatório Final] Documento consolidado e Configuração do processo,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/13,CLOSED,JoaoRajao,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6KZUs,ISSUE,30,[Lab02S01] Métricas estáticas e pipeline Parquet/dbt,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/30,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyo,ISSUE,14,[Lab01S03] Snapshot final do board,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/14,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyg,ISSUE,12,"[Lab01S03] Análise e visualização de dados - RQ05, RQ06 e RQ07",JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/12,CLOSED,JoaoRajao,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyY,ISSUE,10,[Lab01S03] Análise e visualização de dados - RQ01 e RQ02,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/10,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgx8,ISSUE,6,[Lab01S02] Validação e Hipóteses - RQ01 e RQ02,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/6,CLOSED,Salomao0tavio,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyI,ISSUE,7,[Lab01S02] Validação e Hipóteses - RQ03 e RQ04,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/7,CLOSED,Salomao0tavio,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyU,ISSUE,9,[Lab01S02] Snapshot S02 e Relatório Parcial,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/9,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgx0,ISSUE,5,[Lab01S02] Paginação GraphQL e exportação CSV,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/5,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyM,ISSUE,8,"[Lab01S02] Validação e Hipóteses - RQ05, RQ06 e RQ07",JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/8,CLOSED,JoaoRajao,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgxw,ISSUE,4,[Lab01S01] Exportação do Snapshot (Fechamento S01),JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/4,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgxo,ISSUE,3,[Lab01S01] Estrutura do Repositório e Validação de Dados (RQs 05 a 07),JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/3,CLOSED,JoaoRajao,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgxg,ISSUE,1,[Lab01S01] Ingestão e Processamento - Script GraphQL,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/1,CLOSED,JoaoRajao,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg2dgxk,ISSUE,2,[Lab01S01] Setup do Kanban e Validação de Dados (RQs 01 a 04),JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/2,CLOSED,PedroRamos98,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6KZTY,ISSUE,28,[Lab02S01] Script de cronometragem e coleta de tempo,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/28,CLOSED,JoaoRajao,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bYFU,ISSUE,34,[Lab02S02] Execução dos trials - João,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/34,CLOSED,JoaoRajao,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bYQM,ISSUE,37,[Lab02S03] Testes estatísticos RQ1 e RQ2 (Wilcoxon),JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/37,OPEN,,Todo
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bYTQ,ISSUE,38,[Lab02S03] Análise estrutural RQ3 (métricas estáticas),JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/38,OPEN,,Todo
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bYWk,ISSUE,39,[Lab02S03] Dashboard de visualização,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/39,OPEN,,Todo
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bYZg,ISSUE,40,[Lab02S03] Snapshot final do board,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/40,OPEN,,Todo
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6bYcQ,ISSUE,41,[Relatório Final] Documento consolidado do experimento,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/41,OPEN,,Todo
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg6l-XY,ISSUE,45,[Lab02S02] Orquestração do pipeline com Apache Airflow,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/45,CLOSED,JoaoRajao,Done
Lab02S02,2026-09-18T01:38:22.707864+00:00,PVTI_lAHOB78skc4BgTC_zg7hLqI,ISSUE,48,[Lab02] Corrigir metricas de trials_salomao.jsonl (falha no script de coleta),JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/48,OPEN,,Todo
