sprint,exported_at,project_item_id,item_type,issue_number,title,repository,url,state,assignees,status
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgxw,ISSUE,4,[Lab01S01] Exportação do Snapshot (Fechamento S01),JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/4,CLOSED,PedroRamos98,Done
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgxo,ISSUE,3,[Lab01S01] Estrutura do Repositório e Validação de Dados (RQs 05 a 07),JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/3,CLOSED,JoaoRajao,Done
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgxg,ISSUE,1,[Lab01S01] Ingestão e Processamento - Script GraphQL,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/1,CLOSED,JoaoRajao,Done
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgxk,ISSUE,2,[Lab01S01] Setup do Kanban e Validação de Dados (RQs 01 a 04),JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/2,CLOSED,PedroRamos98,Done
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgx0,ISSUE,5,[Lab01S02] Paginação GraphQL e exportação CSV,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/5,OPEN,,Todo
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgx8,ISSUE,6,[Lab01S02] Validação e Hipóteses - RQ01 e RQ02,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/6,OPEN,,Todo
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyI,ISSUE,7,[Lab01S02] Validação e Hipóteses - RQ03 e RQ04,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/7,OPEN,,Todo
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyM,ISSUE,8,"[Lab01S02] Validação e Hipóteses - RQ05, RQ06 e RQ07",JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/8,OPEN,JoaoRajao,Todo
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyU,ISSUE,9,[Lab01S02] Snapshot S02 e Relatório Parcial,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/9,OPEN,,Todo
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyY,ISSUE,10,[Lab01S03] Análise e visualização de dados - RQ01 e RQ02,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/10,OPEN,,Todo
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyc,ISSUE,11,[Lab01S03] Análise e visualização de dados - RQ03 e RQ04,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/11,OPEN,,Todo
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyg,ISSUE,12,"[Lab01S03] Análise e visualização de dados - RQ05, RQ06 e RQ07",JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/12,OPEN,,Todo
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyk,ISSUE,13,[Relatório Final] Documento consolidado e Configuração do processo,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/13,OPEN,,Todo
Lab01S01,2026-08-14T01:48:24.971041+00:00,PVTI_lAHOB78skc4BgTC_zg2dgyo,ISSUE,14,[Lab01S03] Snapshot final do board,JoaoRajao/lab-medicao,https://github.com/JoaoRajao/lab-medicao/issues/14,OPEN,,Todo
